Movie Spanish,Movie Name real,mi_info,Year,Runtime,Genre,Rating,Director,Language,Country,sinopsis,plataformas,links_plataformas
Arrugas,Arrugas,,2011,80,"Animación, Drama, Comedia",7.596,Ignacio Ferreras,es,Spain,"ARRUGAS es un largometraje de animación 2D para un público adulto basado en el aclamado cómic del mismo título de Paco Roca (Premio Nacional de Cómic 2008). Arrugas narra la amistad entre Emilio y Miguel, dos ancianos recluidos en un geriátrico. Emilio, que acaba de llegar a la residencia en un estado inicial de Alzheimer será ayudado por Miguel y otros compañeros para no acabar en la planta superior de la residencia, el temido piso de los asistidos que es como llaman allí a los desahuciados. Su alocado plan tiñe de comedia y ternura el tedioso día a día de la residencia porque aunque para muchos sus vidas habían acabado, ellos acababan de empezar una nueva.",,https://www.themoviedb.org/movie/85444-arrugas/watch?locale=ES
As five,映画 プリキュアオールスターズNewStage2 こころのともだち,LGTB,2013,70,"Animación, Acción, Fantasía, Comedia, Aventura, Familia",6.042,Kouji Ogawa,ja,Japan,,,
As the Gods Will,As the Gods Will,como el calamar,2014,117,"Suspense, Terror, Comedia",7.128,Takashi Miike,ja,Japan,"Shun Takahata  es un estudiante corriente que lleva una vida aburrida. Su amigo de toda la vida es Ichika Akimoto . Un día la cabeza de un maestro explota en plena clase. Shun Takahata y sus compañeros se ven obligados a jugar un macabro juego de la muerte sin saber cómo, por qué o quién les ha metido en ese lio.",,
Asesinato en el orient express,Asesinato en el Orient Express,plot twist,2017,114,"Misterio, Drama, Crimen",6.707,Kenneth Branagh,en,United States of America,"Durante un viaje en el legendario tren Orient Express, el detective belga Hercules Poirot investiga un asesinato cometido en el trayecto, y a resultas del cual todos los pasajeros del tren son sospechosos del mismo.",Disney Plus,https://www.themoviedb.org/movie/392044-murder-on-the-orient-express/watch?locale=ES
Aterriza como puedas,Aterriza como puedas,,1980,88,Comedia,7.3,Jim Abrahams,en,United States of America,"El vuelo 209 de la Trans American sale de Los Ángeles con destino a Chicago. Entre el pasaje se encuentran una serie de curiosos personajes. Entre ellos, un ex-piloto de combate que, en pleno vuelo, se verá obligado a hacerse con el mando del avión comercial, tras quedar los pilotos indispuestos por una comida en mal estado.",,https://www.themoviedb.org/movie/813-airplane/watch?locale=ES
Atonement,"Expiación, más allá de la pasión",Plano secuencia,2007,123,"Drama, Romance",7.634,Joe Wright,en,"France, United Kingdom, United States of America","En el verano de 1935, Briony Tallis (Saoirse Ronan), una precoz escritora de 13 años, cambia irremediablemente el curso de varias vidas cuando acusa al amante de su hermana Cecilia (Keira Knightley), el joven Robbie Turner (James McAvoy), de haber cometido un crimen. Los productores y el realizador de ""Orgullo y prejuicio"" vuelven a unirse en este drama.","Amazon Prime Video, Amazon Prime Video with Ads",https://www.themoviedb.org/movie/4347-atonement/watch?locale=ES
Atracción fatal,Escuela de jóvenes asesinos,,1989,105,"Comedia, Crimen",7.267,Michael Lehmann,en,United States of America,"Un grupo de cuatro estudiantes, consideradas como las chicas más populares de su escuela secundaria, cometen todo tipo de crueldades con sus compañeras y compañeros. Una de estas chicas, Verónica Sawyer (Winona Ryder), empieza a darse cuenta de que lo que hacen no es bueno, pero le resulta difícil salir del grupo. Aliada con un nuevo chico que ha llegado a la escuela, logran matar a tres alumnos molestos, aunque en todos los casos aparecen como suicidas. Pronto, Verónica comprobará que su amigo es un psicópata.",Filmin,https://www.themoviedb.org/movie/2640-heathers/watch?locale=ES
Austin powers,Austin Powers: Misterioso agente internacional,,1997,95,"Comedia, Crimen",6.598,Jay Roach,en,"Germany, United States of America","Fotógrafo por el día y superagente británico por la noche, Austin Powers es el espía más irreverente de los años 60. ¿Podrá detener al megalómano Doctor Villano antes de que se congele a sí mismo para revivir en los 90? Con la ayuda de su atractiva compinche Vanessa Kensington, se supone que sí.",,
Bad genius,Bad Genius,,2017,130,"Drama, Crimen, Suspense, Comedia",7.865,Nattawut Poonpiriya,th,Thailand,"Bienvenido al negocio de chuletas para exámenes dirigido por Lynn, una estudiante brillante que encuentra la idea de negocio después de ayudar a Grace y Pat. Grace es una destacada activista escolar que no puede obtener las calificaciones que necesita. Pat es un chico rico y sucio que cree que el dinero puede comprar cualquier cosa. El negocio de Lynn se dispara y se inunda de dinero cuando decenas de estudiantes ofrecen su dinero a cambio de respuestas al examen.",Filmin,https://www.themoviedb.org/movie/455714/watch?locale=ES
Bailando con lobos,Bailando con lobos,17,1990,180,"Aventura, Drama, Western",7.843,Kevin Costner,en,"United Kingdom, United States of America","En torno a 1860, en vísperas de la Guerra de Secesión y a punto de terminar el periodo de colonización del Oeste (1785-1890), el teniente John J. Dunbar se dirige a un lejano puesto fronterizo que ha sido abandonado por los soldados. Su soledad lo impulsa a entrar en contacto con los indios sioux y, gracias a ello, conoce a 'En pie con el puño en alto', una mujer blanca que fue adoptada por la tribu cuando era niña. Poco a poco, entre Dunbar y los sioux se establece una relación de respeto y admiración mutuos.",,
